>>>>>>>>>>> CUDA available : True
Namespace(batch_size=32, context_max_length=256, dataset='/home/hyuns6100/[4]newCRS/data/redial/', device=device(type='cuda'), entity_max_length=50, global_norm_clip=5, kg_dataset='[4]newCRS/data/dbpedia/', kg_emb_dim=128, learning_rate=0.0001, max_grad_norm=None, num_bases=8, num_epochs=10, num_warmup_steps=None, num_workers=0, output_dataset_dir='/home/hyuns6100/[4]newCRS/data/redial/', output_dir='/home/hyuns6100/[4]newCRS/save/', save_name='ent_sent_rec_v3', seed=42, senti_tokenizer='roberta-base', text_encoder='roberta-base', text_tokenizer='roberta-base', weight_decay=0.01)
2023-12-11 11:44:07.648 | INFO     | __main__:<module>:280 - ***** Load Dataset *****
2023-12-11 11:44:08.040 | DEBUG    | dataset.dataset_dbpedia:_process_entity_kg:40 - #edge: 186339, #relation: 25, #entity: 30890, #item: 6281

  0%|          | 0/110206 [00:00<?, ?it/s]
  0%|          | 180/110206 [00:00<01:01, 1797.60it/s]
 14%|█▍        | 15224/110206 [00:05<00:30, 3088.38it/s]
 14%|█▍        | 15534/110206 [00:05<00:30, 3091.07it/s]
 14%|█▍        | 15860/110206 [00:05<00:30, 3139.80it/s]
 15%|█▍        | 16192/110206 [00:05<00:29, 3191.45it/s]
 15%|█▍        | 16512/110206 [00:05<00:29, 3190.47it/s]
 15%|█▌        | 16832/110206 [00:05<00:29, 3165.22it/s]
 16%|█▌        | 17149/110206 [00:05<00:30, 3099.13it/s]
 16%|█▌        | 17460/110206 [00:05<00:51, 1796.17it/s]
 16%|█▌        | 17800/110206 [00:06<00:43, 2109.35it/s]
 16%|█▋        | 18176/110206 [00:06<00:37, 2468.36it/s]
 17%|█▋        | 18521/110206 [00:06<00:33, 2699.70it/s]
 17%|█▋        | 18849/110206 [00:06<00:32, 2846.52it/s]
 17%|█▋        | 19202/110206 [00:06<00:30, 3027.70it/s]
 18%|█▊        | 19549/110206 [00:06<00:28, 3147.73it/s]
 18%|█▊        | 19884/110206 [00:06<00:28, 3185.75it/s]
 18%|█▊        | 20227/110206 [00:06<00:27, 3255.05it/s]
 19%|█▊        | 20584/110206 [00:06<00:26, 3342.68it/s]
 19%|█▉        | 20943/110206 [00:06<00:26, 3414.22it/s]
 19%|█▉        | 21290/110206 [00:07<00:26, 3387.08it/s]
 20%|█▉        | 21671/110206 [00:07<00:25, 3510.93it/s]
 20%|█▉        | 22038/110206 [00:07<00:24, 3557.64it/s]
 20%|██        | 22397/110206 [00:07<00:24, 3567.10it/s]
 21%|██        | 22756/110206 [00:07<00:25, 3470.96it/s]
 21%|██        | 23105/110206 [00:07<00:25, 3388.91it/s]
 21%|██▏       | 23484/110206 [00:07<00:24, 3504.70it/s]
 22%|██▏       | 23836/110206 [00:07<00:24, 3479.29it/s]
 22%|██▏       | 24185/110206 [00:07<00:25, 3430.30it/s]
 22%|██▏       | 24545/110206 [00:08<00:24, 3473.00it/s]
 23%|██▎       | 24893/110206 [00:08<00:24, 3473.13it/s]
 23%|██▎       | 25251/110206 [00:08<00:24, 3504.30it/s]
 23%|██▎       | 25602/110206 [00:08<00:24, 3505.70it/s]
 24%|██▎       | 25953/110206 [00:08<00:24, 3443.50it/s]
 24%|██▍       | 26317/110206 [00:08<00:23, 3500.56it/s]
 24%|██▍       | 26679/110206 [00:08<00:23, 3535.34it/s]
 25%|██▍       | 27039/110206 [00:08<00:23, 3552.31it/s]
 25%|██▍       | 27397/110206 [00:08<00:23, 3557.54it/s]
 25%|██▌       | 27764/110206 [00:08<00:22, 3588.10it/s]
 26%|██▌       | 28143/110206 [00:09<00:22, 3647.66it/s]
 26%|██▌       | 28508/110206 [00:09<00:23, 3512.89it/s]
 26%|██▌       | 28861/110206 [00:09<00:23, 3511.48it/s]
 27%|██▋       | 29219/110206 [00:09<00:22, 3528.80it/s]
 27%|██▋       | 29590/110206 [00:09<00:22, 3578.44it/s]
 27%|██▋       | 29949/110206 [00:09<00:23, 3460.66it/s]
 27%|██▋       | 30297/110206 [00:09<00:23, 3421.55it/s]
 28%|██▊       | 30645/110206 [00:09<00:23, 3436.63it/s]
 28%|██▊       | 30990/110206 [00:09<00:23, 3420.97it/s]
 28%|██▊       | 31333/110206 [00:09<00:23, 3329.21it/s]
 29%|██▊       | 31667/110206 [00:10<00:23, 3316.92it/s]
 29%|██▉       | 32000/110206 [00:10<00:23, 3283.50it/s]
 29%|██▉       | 32340/110206 [00:10<00:23, 3315.73it/s]
 30%|██▉       | 32677/110206 [00:10<00:23, 3328.31it/s]
 30%|██▉       | 33041/110206 [00:10<00:22, 3418.82it/s]
 30%|███       | 33402/110206 [00:10<00:22, 3472.32it/s]
 31%|███       | 33750/110206 [00:10<00:22, 3360.20it/s]
 31%|███       | 34088/110206 [00:10<00:22, 3363.91it/s]
 31%|███▏      | 34459/110206 [00:10<00:21, 3461.57it/s]
 32%|███▏      | 34815/110206 [00:10<00:21, 3490.37it/s]
 32%|███▏      | 35184/110206 [00:11<00:21, 3547.65it/s]
 32%|███▏      | 35540/110206 [00:11<00:21, 3502.81it/s]
 33%|███▎      | 35891/110206 [00:11<00:21, 3491.99it/s]
 33%|███▎      | 36261/110206 [00:11<00:20, 3553.11it/s]
 33%|███▎      | 36617/110206 [00:11<00:21, 3477.53it/s]
 34%|███▎      | 36966/110206 [00:11<00:21, 3427.12it/s]
 34%|███▍      | 37310/110206 [00:11<00:22, 3306.06it/s]
 34%|███▍      | 37652/110206 [00:11<00:21, 3336.42it/s]
 34%|███▍      | 37996/110206 [00:11<00:21, 3363.14it/s]
 35%|███▍      | 38372/110206 [00:12<00:20, 3473.23it/s]
 35%|███▌      | 38741/110206 [00:12<00:20, 3534.60it/s]
 35%|███▌      | 39096/110206 [00:12<00:20, 3490.06it/s]
 36%|███▌      | 39446/110206 [00:12<00:21, 3292.97it/s]
 36%|███▌      | 39778/110206 [00:12<00:22, 3167.71it/s]
 36%|███▋      | 40116/110206 [00:12<00:21, 3227.12it/s]
 37%|███▋      | 40441/110206 [00:12<00:21, 3201.40it/s]
 37%|███▋      | 40771/110206 [00:12<00:21, 3229.07it/s]
 37%|███▋      | 41102/110206 [00:12<00:21, 3248.19it/s]
 38%|███▊      | 41436/110206 [00:12<00:21, 3268.62it/s]
 38%|███▊      | 41769/110206 [00:13<00:20, 3284.81it/s]
 38%|███▊      | 42098/110206 [00:13<00:20, 3284.51it/s]
 38%|███▊      | 42427/110206 [00:13<00:21, 3221.37it/s]
 39%|███▉      | 42763/110206 [00:13<00:20, 3261.84it/s]
 39%|███▉      | 43104/110206 [00:13<00:20, 3302.60it/s]
 39%|███▉      | 43435/110206 [00:13<00:20, 3265.13it/s]
 40%|███▉      | 43780/110206 [00:13<00:20, 3316.86it/s]
 40%|████      | 44125/110206 [00:13<00:19, 3350.91it/s]
 40%|████      | 44467/110206 [00:13<00:19, 3370.23it/s]
 41%|████      | 44822/110206 [00:13<00:19, 3420.81it/s]
 41%|████      | 45165/110206 [00:14<00:19, 3364.71it/s]
 41%|████▏     | 45502/110206 [00:14<00:19, 3334.96it/s]
 42%|████▏     | 45836/110206 [00:14<00:19, 3283.93it/s]
 42%|████▏     | 46183/110206 [00:14<00:19, 3335.56it/s]
 42%|████▏     | 46517/110206 [00:14<00:19, 3293.30it/s]
 43%|████▎     | 46897/110206 [00:14<00:18, 3441.25it/s]
 43%|████▎     | 47242/110206 [00:14<00:18, 3391.64it/s]
 43%|████▎     | 47607/110206 [00:14<00:18, 3465.58it/s]
 44%|████▎     | 47955/110206 [00:14<00:18, 3369.37it/s]
 44%|████▍     | 48293/110206 [00:15<00:33, 1852.25it/s]
 44%|████▍     | 48630/110206 [00:15<00:28, 2132.94it/s]
 44%|████▍     | 48954/110206 [00:15<00:25, 2364.72it/s]
 45%|████▍     | 49288/110206 [00:15<00:23, 2588.75it/s]
 45%|████▌     | 49640/110206 [00:15<00:21, 2817.55it/s]
 45%|████▌     | 49961/110206 [00:15<00:20, 2888.98it/s]
 46%|████▌     | 50292/110206 [00:15<00:19, 2999.44it/s]
 46%|████▌     | 50646/110206 [00:16<00:18, 3146.21it/s]
 46%|████▋     | 50977/110206 [00:16<00:19, 3109.45it/s]
 47%|████▋     | 51330/110206 [00:16<00:18, 3227.29it/s]
 47%|████▋     | 51663/110206 [00:16<00:17, 3256.81it/s]
 47%|████▋     | 52000/110206 [00:16<00:17, 3287.08it/s]
 47%|████▋     | 52337/110206 [00:16<00:17, 3310.13it/s]
 48%|████▊     | 52683/110206 [00:16<00:17, 3352.42it/s]
 48%|████▊     | 53021/110206 [00:16<00:17, 3318.95it/s]
 48%|████▊     | 53355/110206 [00:16<00:17, 3265.78it/s]
 49%|████▊     | 53683/110206 [00:16<00:17, 3218.66it/s]
 49%|████▉     | 54009/110206 [00:17<00:17, 3228.69it/s]
 49%|████▉     | 54333/110206 [00:17<00:17, 3203.79it/s]
 50%|████▉     | 54707/110206 [00:17<00:16, 3359.64it/s]
 50%|████▉     | 55064/110206 [00:17<00:16, 3420.75it/s]
 50%|█████     | 55407/110206 [00:17<00:16, 3373.30it/s]
 51%|█████     | 55745/110206 [00:17<00:17, 3121.65it/s]
 51%|█████     | 56077/110206 [00:17<00:17, 3175.58it/s]
 51%|█████     | 56411/110206 [00:17<00:16, 3221.26it/s]
 52%|█████▏    | 56781/110206 [00:17<00:15, 3359.30it/s]
 52%|█████▏    | 57120/110206 [00:17<00:16, 3317.08it/s]
 52%|█████▏    | 57483/110206 [00:18<00:15, 3408.22it/s]
 52%|█████▏    | 57826/110206 [00:18<00:15, 3316.56it/s]
 53%|█████▎    | 58174/110206 [00:18<00:15, 3361.67it/s]
 53%|█████▎    | 58512/110206 [00:18<00:15, 3290.00it/s]
 53%|█████▎    | 58842/110206 [00:18<00:15, 3216.11it/s]
 54%|█████▎    | 59165/110206 [00:18<00:15, 3212.20it/s]
 54%|█████▍    | 59514/110206 [00:18<00:15, 3292.43it/s]
 54%|█████▍    | 59844/110206 [00:18<00:15, 3285.20it/s]
 55%|█████▍    | 60173/110206 [00:18<00:15, 3278.41it/s]
 55%|█████▍    | 60505/110206 [00:19<00:15, 3289.57it/s]
 55%|█████▌    | 60843/110206 [00:19<00:14, 3315.27it/s]
 56%|█████▌    | 61194/110206 [00:19<00:14, 3368.32it/s]
 56%|█████▌    | 61531/110206 [00:19<00:14, 3321.91it/s]
 56%|█████▌    | 61864/110206 [00:19<00:14, 3279.11it/s]
 56%|█████▋    | 62222/110206 [00:19<00:14, 3364.77it/s]
 57%|█████▋    | 62559/110206 [00:19<00:14, 3358.94it/s]
 57%|█████▋    | 62916/110206 [00:19<00:13, 3420.27it/s]
 57%|█████▋    | 63259/110206 [00:19<00:13, 3406.22it/s]
 58%|█████▊    | 63600/110206 [00:19<00:13, 3367.88it/s]
 58%|█████▊    | 63970/110206 [00:20<00:13, 3465.79it/s]
 58%|█████▊    | 64317/110206 [00:20<00:13, 3418.23it/s]
 59%|█████▊    | 64660/110206 [00:20<00:14, 3231.38it/s]
 59%|█████▉    | 64996/110206 [00:20<00:13, 3267.35it/s]
 59%|█████▉    | 65325/110206 [00:20<00:13, 3226.89it/s]
 60%|█████▉    | 65649/110206 [00:20<00:14, 3147.44it/s]
 60%|█████▉    | 65980/110206 [00:20<00:13, 3190.57it/s]
 60%|██████    | 66339/110206 [00:20<00:13, 3304.91it/s]
 61%|██████    | 66690/110206 [00:20<00:12, 3363.96it/s]
 61%|██████    | 67028/110206 [00:20<00:13, 3158.57it/s]
 61%|██████    | 67347/110206 [00:21<00:14, 3057.90it/s]
 61%|██████▏   | 67711/110206 [00:21<00:13, 3220.36it/s]
 62%|██████▏   | 68036/110206 [00:21<00:13, 3228.24it/s]
 62%|██████▏   | 68380/110206 [00:21<00:12, 3287.89it/s]
 62%|██████▏   | 68711/110206 [00:21<00:12, 3288.00it/s]
 63%|██████▎   | 69068/110206 [00:21<00:12, 3369.48it/s]
 63%|██████▎   | 69408/110206 [00:21<00:12, 3377.93it/s]
 63%|██████▎   | 69748/110206 [00:21<00:11, 3383.64it/s]
 64%|██████▎   | 70087/110206 [00:21<00:12, 3251.50it/s]
 64%|██████▍   | 70414/110206 [00:22<00:12, 3161.50it/s]
 64%|██████▍   | 70742/110206 [00:22<00:12, 3194.27it/s]
 65%|██████▍   | 71092/110206 [00:22<00:11, 3279.19it/s]
 65%|██████▍   | 71439/110206 [00:22<00:11, 3333.26it/s]
 65%|██████▌   | 71788/110206 [00:22<00:11, 3378.28it/s]
 65%|██████▌   | 72127/110206 [00:22<00:11, 3289.99it/s]
 66%|██████▌   | 72457/110206 [00:22<00:13, 2784.27it/s]
 66%|██████▌   | 72796/110206 [00:22<00:12, 2942.08it/s]
 66%|██████▋   | 73102/110206 [00:22<00:12, 2933.31it/s]
 67%|██████▋   | 73430/110206 [00:23<00:12, 3025.50it/s]
 67%|██████▋   | 73762/110206 [00:23<00:11, 3108.59it/s]
 67%|██████▋   | 74078/110206 [00:23<00:11, 3058.96it/s]
 68%|██████▊   | 74399/110206 [00:23<00:11, 3101.76it/s]
 68%|██████▊   | 74723/110206 [00:23<00:11, 3141.02it/s]
 68%|██████▊   | 75040/110206 [00:23<00:11, 3122.81it/s]
 68%|██████▊   | 75361/110206 [00:23<00:11, 3147.57it/s]
 69%|██████▊   | 75677/110206 [00:23<00:11, 3132.47it/s]
 69%|██████▉   | 76007/110206 [00:23<00:10, 3181.91it/s]
 69%|██████▉   | 76352/110206 [00:23<00:10, 3260.12it/s]
 70%|██████▉   | 76685/110206 [00:24<00:10, 3278.94it/s]
 70%|██████▉   | 77014/110206 [00:24<00:10, 3258.91it/s]
 70%|███████   | 77361/110206 [00:24<00:09, 3320.01it/s]
 70%|███████   | 77694/110206 [00:24<00:09, 3314.74it/s]
 71%|███████   | 78026/110206 [00:24<00:09, 3302.23it/s]
 71%|███████   | 78357/110206 [00:24<00:09, 3217.81it/s]
 71%|███████▏  | 78680/110206 [00:24<00:20, 1547.35it/s]
 72%|███████▏  | 78999/110206 [00:25<00:17, 1821.62it/s]
 72%|███████▏  | 79301/110206 [00:25<00:15, 2051.92it/s]
 72%|███████▏  | 79647/110206 [00:25<00:12, 2351.62it/s]
 73%|███████▎  | 79965/110206 [00:25<00:11, 2546.08it/s]
 73%|███████▎  | 80278/110206 [00:25<00:11, 2690.67it/s]
 73%|███████▎  | 80591/110206 [00:25<00:10, 2803.90it/s]
 73%|███████▎  | 80931/110206 [00:25<00:09, 2966.03it/s]
 74%|███████▎  | 81272/110206 [00:25<00:09, 3088.83it/s]
 74%|███████▍  | 81597/110206 [00:25<00:09, 3103.27it/s]
 74%|███████▍  | 81936/110206 [00:26<00:08, 3185.71it/s]
 75%|███████▍  | 82276/110206 [00:26<00:08, 3246.98it/s]
 75%|███████▍  | 82607/110206 [00:26<00:08, 3250.86it/s]
 75%|███████▌  | 82967/110206 [00:26<00:08, 3353.08it/s]
 76%|███████▌  | 83324/110206 [00:26<00:07, 3416.11it/s]
 76%|███████▌  | 83668/110206 [00:26<00:07, 3319.30it/s]
 76%|███████▌  | 84002/110206 [00:26<00:07, 3289.17it/s]
 77%|███████▋  | 84333/110206 [00:26<00:07, 3252.39it/s]
 77%|███████▋  | 84682/110206 [00:26<00:07, 3317.33it/s]
 77%|███████▋  | 85015/110206 [00:26<00:07, 3290.86it/s]
 77%|███████▋  | 85348/110206 [00:27<00:07, 3301.13it/s]
 78%|███████▊  | 85679/110206 [00:27<00:07, 3277.21it/s]
 78%|███████▊  | 86008/110206 [00:27<00:07, 3246.87it/s]
 78%|███████▊  | 86333/110206 [00:27<00:07, 3154.91it/s]
 79%|███████▊  | 86650/110206 [00:27<00:07, 3156.30it/s]
 79%|███████▉  | 86967/110206 [00:27<00:07, 2920.67it/s]
 79%|███████▉  | 87263/110206 [00:27<00:07, 2871.08it/s]
 79%|███████▉  | 87553/110206 [00:27<00:07, 2833.32it/s]
 80%|███████▉  | 87838/110206 [00:27<00:07, 2826.22it/s]
 80%|███████▉  | 88141/110206 [00:27<00:07, 2879.63it/s]
 80%|████████  | 88430/110206 [00:28<00:07, 2873.79it/s]
 81%|████████  | 88719/110206 [00:28<00:07, 2806.79it/s]
 81%|████████  | 89001/110206 [00:28<00:07, 2793.32it/s]
 81%|████████  | 89297/110206 [00:28<00:07, 2841.58it/s]
 81%|████████▏ | 89582/110206 [00:28<00:07, 2829.96it/s]
 82%|████████▏ | 89873/110206 [00:28<00:07, 2853.48it/s]
 82%|████████▏ | 90209/110206 [00:28<00:06, 3000.22it/s]
 82%|████████▏ | 90511/110206 [00:28<00:06, 3001.50it/s]
 82%|████████▏ | 90837/110206 [00:28<00:06, 3077.86it/s]
 83%|████████▎ | 91182/110206 [00:29<00:05, 3186.28it/s]
 83%|████████▎ | 91514/110206 [00:29<00:05, 3224.66it/s]
 83%|████████▎ | 91837/110206 [00:29<00:05, 3137.22it/s]
 84%|████████▎ | 92152/110206 [00:29<00:05, 3111.83it/s]
 84%|████████▍ | 92464/110206 [00:29<00:05, 3062.85it/s]
 84%|████████▍ | 92771/110206 [00:29<00:05, 3032.70it/s]
 84%|████████▍ | 93101/110206 [00:29<00:05, 3107.81it/s]
 85%|████████▍ | 93435/110206 [00:29<00:05, 3175.27it/s]
 85%|████████▌ | 93783/110206 [00:29<00:05, 3264.70it/s]
 85%|████████▌ | 94110/110206 [00:29<00:04, 3263.36it/s]
 86%|████████▌ | 94437/110206 [00:30<00:04, 3195.86it/s]
 86%|████████▌ | 94758/110206 [00:30<00:05, 3077.06it/s]
 86%|████████▋ | 95084/110206 [00:30<00:04, 3128.36it/s]
 87%|████████▋ | 95398/110206 [00:30<00:04, 3002.63it/s]
 87%|████████▋ | 95716/110206 [00:30<00:04, 3049.34it/s]
 87%|████████▋ | 96029/110206 [00:30<00:04, 3072.07it/s]
 87%|████████▋ | 96350/110206 [00:30<00:04, 3111.70it/s]
 88%|████████▊ | 96662/110206 [00:30<00:04, 3075.31it/s]
 88%|████████▊ | 96971/110206 [00:30<00:04, 3036.00it/s]
 88%|████████▊ | 97276/110206 [00:30<00:04, 3005.88it/s]
 89%|████████▊ | 97577/110206 [00:31<00:04, 2980.15it/s]
 89%|████████▉ | 97885/110206 [00:31<00:04, 2980.71it/s]
 89%|████████▉ | 98194/110206 [00:31<00:03, 3011.67it/s]
 89%|████████▉ | 98508/110206 [00:31<00:03, 3048.32it/s]
 90%|████████▉ | 98830/110206 [00:31<00:03, 3098.21it/s]
 90%|████████▉ | 99142/110206 [00:31<00:03, 3101.69it/s]
 90%|█████████ | 99472/110206 [00:31<00:03, 3155.89it/s]
 91%|█████████ | 99804/110206 [00:31<00:03, 3204.40it/s]
 91%|█████████ | 100125/110206 [00:31<00:03, 3190.63it/s]
 91%|█████████ | 100453/110206 [00:31<00:03, 3214.60it/s]
 91%|█████████▏| 100775/110206 [00:32<00:03, 3102.52it/s]
 92%|█████████▏| 101105/110206 [00:32<00:02, 3157.37it/s]
 92%|█████████▏| 101422/110206 [00:32<00:02, 3087.66it/s]
 92%|█████████▏| 101732/110206 [00:32<00:02, 3066.52it/s]
 93%|█████████▎| 102088/110206 [00:32<00:02, 3208.07it/s]
 93%|█████████▎| 102410/110206 [00:32<00:02, 3160.54it/s]
 93%|█████████▎| 102754/110206 [00:32<00:02, 3239.77it/s]
 94%|█████████▎| 103087/110206 [00:32<00:02, 3264.17it/s]
 94%|█████████▍| 103414/110206 [00:32<00:02, 3185.16it/s]
 94%|█████████▍| 103737/110206 [00:33<00:02, 3196.90it/s]
 94%|█████████▍| 104058/110206 [00:33<00:01, 3162.93it/s]
 95%|█████████▍| 104375/110206 [00:33<00:01, 3158.34it/s]
 95%|█████████▌| 104707/110206 [00:33<00:01, 3203.84it/s]
 95%|█████████▌| 105028/110206 [00:33<00:01, 3090.91it/s]
 96%|█████████▌| 105339/110206 [00:33<00:01, 2949.97it/s]
 96%|█████████▌| 105636/110206 [00:33<00:01, 2905.24it/s]
 96%|█████████▌| 105928/110206 [00:33<00:01, 2907.56it/s]
 96%|█████████▋| 106220/110206 [00:33<00:01, 2754.28it/s]
 97%|█████████▋| 106514/110206 [00:33<00:01, 2805.67it/s]
 97%|█████████▋| 106797/110206 [00:34<00:01, 2776.96it/s]
 97%|█████████▋| 107076/110206 [00:34<00:01, 2774.52it/s]
 97%|█████████▋| 107380/110206 [00:34<00:00, 2850.62it/s]
 98%|█████████▊| 107666/110206 [00:34<00:00, 2820.20it/s]
 98%|█████████▊| 107955/110206 [00:34<00:00, 2838.57it/s]
 98%|█████████▊| 108240/110206 [00:34<00:00, 2795.17it/s]
 98%|█████████▊| 108520/110206 [00:34<00:00, 2781.41it/s]
 99%|█████████▉| 108841/110206 [00:34<00:00, 2905.82it/s]
 99%|█████████▉| 109133/110206 [00:34<00:00, 2867.79it/s]
 99%|█████████▉| 109428/110206 [00:35<00:00, 2889.36it/s]
100%|█████████▉| 109741/110206 [00:35<00:00, 2959.35it/s]
100%|█████████▉| 110072/110206 [00:35<00:00, 3062.09it/s]
100%|██████████| 110206/110206 [00:35<00:00, 3126.72it/s]

  0%|          | 0/12284 [00:00<?, ?it/s]
  3%|▎         | 322/12284 [00:00<00:03, 3202.34it/s]
  5%|▌         | 643/12284 [00:00<00:03, 3146.84it/s]
  8%|▊         | 973/12284 [00:00<00:03, 3213.55it/s]
 11%|█         | 1296/12284 [00:00<00:03, 3215.29it/s]
 13%|█▎        | 1618/12284 [00:00<00:03, 3167.20it/s]
 16%|█▌        | 1935/12284 [00:00<00:03, 3161.95it/s]
 18%|█▊        | 2252/12284 [00:00<00:03, 3125.16it/s]
 21%|██        | 2565/12284 [00:00<00:03, 3103.84it/s]
 23%|██▎       | 2876/12284 [00:00<00:03, 3091.26it/s]
 26%|██▌       | 3197/12284 [00:01<00:02, 3126.94it/s]
 29%|██▊       | 3510/12284 [00:01<00:02, 3116.87it/s]
 31%|███       | 3822/12284 [00:01<00:02, 3053.14it/s]
 34%|███▎      | 4128/12284 [00:01<00:02, 3052.39it/s]
 36%|███▌      | 4435/12284 [00:01<00:02, 3056.54it/s]
 39%|███▊      | 4741/12284 [00:02<00:06, 1237.13it/s]
 41%|████      | 5029/12284 [00:02<00:04, 1478.34it/s]
 43%|████▎     | 5341/12284 [00:02<00:03, 1762.32it/s]
 46%|████▌     | 5665/12284 [00:02<00:03, 2055.60it/s]
 49%|████▊     | 5966/12284 [00:02<00:02, 2264.36it/s]
 51%|█████     | 6289/12284 [00:02<00:02, 2494.65it/s]
 54%|█████▍    | 6631/12284 [00:02<00:02, 2729.61it/s]
 57%|█████▋    | 6943/12284 [00:02<00:01, 2797.32it/s]
 59%|█████▉    | 7255/12284 [00:02<00:01, 2884.44it/s]
 62%|██████▏   | 7579/12284 [00:02<00:01, 2983.47it/s]
 64%|██████▍   | 7893/12284 [00:03<00:01, 3024.50it/s]
 67%|██████▋   | 8233/12284 [00:03<00:01, 3132.33it/s]
 70%|██████▉   | 8554/12284 [00:03<00:01, 3022.34it/s]
 72%|███████▏  | 8900/12284 [00:03<00:01, 3144.49it/s]
 75%|███████▌  | 9220/12284 [00:03<00:00, 3129.38it/s]
 78%|███████▊  | 9537/12284 [00:03<00:00, 3115.21it/s]
 80%|████████  | 9851/12284 [00:03<00:00, 3048.27it/s]
 83%|████████▎ | 10158/12284 [00:03<00:00, 3007.19it/s]
 85%|████████▌ | 10483/12284 [00:03<00:00, 3074.16it/s]
 88%|████████▊ | 10792/12284 [00:03<00:00, 2980.13it/s]
 90%|█████████ | 11092/12284 [00:04<00:00, 2953.27it/s]
 93%|█████████▎| 11408/12284 [00:04<00:00, 3010.66it/s]
 95%|█████████▌| 11721/12284 [00:04<00:00, 3041.57it/s]
